ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,20,0.0,0.0,1.127396,0,0
direct,525,0.00381,0.00381,4.835456,2,2
detour,255,1.0,0.007843,206.690055,0,253
