episode,opsdemo_reward,baseline_reward
0,85.0,97.0
1,95.0,87.0
2,87.0,96.0
3,80.0,93.0
4,88.0,91.0
5,93.0,92.0
6,94.0,88.0
7,92.0,93.0
8,94.0,93.0
9,86.0,93.0
10,95.0,89.0
11,89.0,93.0
12,97.0,98.0
13,68.0,81.0
14,89.0,93.0
15,89.0,90.0
16,-56.0,94.0
17,94.0,99.0
18,89.0,87.0
19,89.0,91.0
20,94.0,97.0
21,99.0,92.0
22,88.0,92.0
23,89.0,85.0
24,95.0,94.0
25,77.0,85.0
26,91.0,86.0
27,99.0,95.0
28,-54.0,94.0
29,93.0,93.0
30,83.0,88.0
31,-46.0,85.0
32,92.0,89.0
33,88.0,92.0
34,90.0,97.0
35,96.0,93.0
36,96.0,89.0
37,91.0,94.0
38,99.0,90.0
39,91.0,92.0
40,94.0,93.0
41,97.0,90.0
42,92.0,92.0
43,91.0,97.0
44,95.0,91.0
45,96.0,92.0
46,84.0,92.0
47,40.0,93.0
48,86.0,93.0
49,93.0,94.0
50,99.0,86.0
51,54.0,88.0
52,93.0,96.0
53,86.0,89.0
54,77.0,95.0
55,99.0,94.0
56,90.0,82.0
57,85.0,85.0
58,88.0,86.0
59,95.0,96.0
60,92.0,99.0
61,69.0,94.0
62,93.0,91.0
63,91.0,87.0
64,75.0,86.0
65,-59.0,93.0
66,84.0,95.0
67,97.0,97.0
68,93.0,96.0
69,95.0,91.0
70,90.0,92.0
71,84.0,89.0
72,90.0,87.0
73,93.0,93.0
74,90.0,93.0
75,87.0,95.0
76,88.0,91.0
77,89.0,92.0
78,97.0,92.0
79,68.0,92.0
80,59.0,94.0
81,98.0,90.0
82,68.0,84.0
83,92.0,94.0
84,91.0,90.0
85,85.0,94.0
86,90.0,91.0
87,94.0,87.0
88,88.0,90.0
89,90.0,87.0
90,91.0,88.0
91,88.0,89.0
92,98.0,98.0
93,96.0,94.0
94,59.0,89.0
95,97.0,93.0
96,93.0,94.0
97,91.0,91.0
98,82.0,95.0
99,55.0,91.0
100,88.0,84.0
101,97.0,86.0
102,87.0,90.0
103,88.0,88.0
104,94.0,92.0
105,92.0,92.0
106,93.0,91.0
107,94.0,90.0
108,92.0,94.0
109,94.0,93.0
110,92.0,88.0
111,94.0,86.0
112,94.0,98.0
113,-59.0,90.0
114,78.0,94.0
