episode,opsdemo_reward,baseline_reward
0,93.0,92.0
1,95.0,94.0
2,96.0,96.0
3,60.0,89.0
4,94.0,88.0
5,92.0,91.0
6,96.0,87.0
7,97.0,93.0
8,97.0,95.0
9,93.0,87.0
10,87.0,93.0
11,78.0,95.0
12,93.0,87.0
13,74.0,92.0
14,95.0,89.0
15,95.0,88.0
16,62.0,89.0
17,94.0,88.0
18,97.0,92.0
19,94.0,92.0
20,89.0,89.0
21,92.0,96.0
22,89.0,88.0
23,94.0,88.0
24,89.0,87.0
25,93.0,85.0
26,92.0,92.0
27,93.0,93.0
28,88.0,88.0
29,90.0,90.0
30,97.0,95.0
31,88.0,94.0
32,-60.0,91.0
33,-61.0,92.0
34,92.0,93.0
35,83.0,95.0
36,93.0,92.0
37,91.0,89.0
38,95.0,91.0
39,93.0,92.0
40,93.0,88.0
41,95.0,85.0
42,92.0,96.0
43,91.0,96.0
44,93.0,91.0
45,93.0,98.0
46,87.0,86.0
47,95.0,94.0
48,98.0,91.0
49,94.0,96.0
50,91.0,95.0
51,90.0,92.0
52,-55.0,92.0
53,-41.0,89.0
54,93.0,92.0
55,84.0,98.0
56,92.0,90.0
57,81.0,88.0
58,94.0,97.0
59,89.0,85.0
60,87.0,93.0
61,90.0,92.0
62,89.0,96.0
63,88.0,96.0
64,-52.0,82.0
65,96.0,88.0
66,98.0,93.0
67,85.0,84.0
68,86.0,93.0
69,66.0,95.0
70,89.0,87.0
71,93.0,89.0
72,99.0,85.0
73,97.0,94.0
74,90.0,93.0
75,93.0,93.0
76,96.0,96.0
77,94.0,90.0
78,95.0,92.0
79,89.0,94.0
80,86.0,96.0
81,87.0,96.0
82,79.0,94.0
83,93.0,90.0
84,91.0,89.0
85,87.0,93.0
86,91.0,88.0
87,94.0,93.0
88,86.0,97.0
89,61.0,86.0
90,86.0,95.0
91,92.0,98.0
92,90.0,86.0
93,97.0,93.0
94,89.0,96.0
95,93.0,92.0
96,89.0,90.0
97,95.0,93.0
98,97.0,87.0
99,87.0,92.0
100,85.0,96.0
101,81.0,84.0
102,92.0,84.0
103,94.0,94.0
104,85.0,75.0
105,-65.0,87.0
106,95.0,86.0
107,91.0,96.0
108,88.0,93.0
109,93.0,90.0
110,94.0,89.0
111,90.0,85.0
112,91.0,90.0
113,87.0,83.0
114,95.0,91.0
115,93.0,86.0
116,89.0,95.0
117,80.0,94.0
118,77.0,92.0
119,92.0,89.0
120,97.0,87.0
121,57.0,92.0
122,44.0,95.0
123,79.0,87.0
124,90.0,96.0
125,96.0,92.0
126,86.0,93.0
127,94.0,96.0
128,97.0,94.0
129,97.0,92.0
130,96.0,93.0
131,96.0,89.0
132,95.0,95.0
133,93.0,92.0
134,94.0,93.0
135,82.0,93.0
136,96.0,98.0
137,39.0,95.0
138,83.0,83.0
139,64.0,87.0
140,85.0,98.0
141,79.0,85.0
142,93.0,95.0
143,76.0,91.0
144,90.0,92.0
145,91.0,93.0
146,80.0,88.0
147,96.0,92.0
148,98.0,88.0
149,98.0,90.0
150,87.0,92.0
151,91.0,91.0
152,78.0,88.0
153,94.0,91.0
154,95.0,94.0
155,-58.0,88.0
156,80.0,97.0
157,92.0,84.0
158,96.0,92.0
159,93.0,89.0
160,91.0,88.0
161,87.0,91.0
162,92.0,86.0
163,89.0,86.0
164,98.0,90.0
165,98.0,92.0
166,93.0,96.0
167,90.0,91.0
168,87.0,92.0
169,-55.0,92.0
170,-52.0,93.0
171,94.0,95.0
172,63.0,86.0
173,73.0,93.0
174,92.0,91.0
175,93.0,87.0
176,94.0,92.0
177,83.0,84.0
178,90.0,94.0
