episode,opsdemo_reward,response_policy_accuracy,baseline_reward
0,89.0,1.0,97.0
1,99.0,1.0,87.0
2,90.0,1.0,96.0
3,94.0,1.0,93.0
4,86.0,1.0,91.0
5,96.0,1.0,92.0
6,91.0,1.0,88.0
7,93.0,1.0,93.0
8,96.0,1.0,93.0
9,90.0,1.0,93.0
10,90.0,1.0,89.0
11,89.0,1.0,93.0
12,96.0,0.75,98.0
13,93.0,0.0,81.0
14,88.0,0.36363636363636365,93.0
15,87.0,1.0,90.0
16,95.0,1.0,94.0
17,91.0,1.0,99.0
18,92.0,1.0,87.0
19,92.0,1.0,91.0
20,90.0,1.0,97.0
21,90.0,1.0,92.0
22,90.0,1.0,92.0
23,93.0,1.0,85.0
24,95.0,0.4,94.0
25,85.0,0.8571428571428571,85.0
26,97.0,1.0,86.0
27,91.0,1.0,95.0
28,94.0,1.0,94.0
29,98.0,1.0,93.0
30,94.0,1.0,88.0
31,91.0,1.0,85.0
32,97.0,1.0,89.0
33,96.0,1.0,92.0
34,93.0,1.0,97.0
35,93.0,1.0,93.0
36,92.0,1.0,89.0
37,90.0,1.0,94.0
38,80.0,0.75,90.0
39,93.0,1.0,92.0
40,96.0,1.0,93.0
41,86.0,1.0,90.0
42,90.0,1.0,92.0
43,96.0,1.0,97.0
44,87.0,1.0,91.0
45,97.0,1.0,92.0
46,93.0,1.0,92.0
47,96.0,1.0,80.0
48,96.0,1.0,89.0
49,91.0,1.0,87.0
50,94.0,1.0,90.0
51,90.0,0.4,95.0
52,93.0,0.8571428571428571,95.0
53,96.0,1.0,87.0
54,94.0,1.0,92.0
55,95.0,1.0,91.0
56,95.0,1.0,74.0
57,93.0,1.0,90.0
58,94.0,1.0,93.0
59,97.0,1.0,96.0
60,92.0,1.0,92.0
61,91.0,1.0,94.0
62,95.0,1.0,88.0
63,96.0,1.0,91.0
64,87.0,1.0,95.0
65,90.0,1.0,88.0
66,82.0,0.7222222222222222,92.0
67,95.0,1.0,90.0
68,90.0,1.0,85.0
69,92.0,1.0,87.0
70,92.0,1.0,94.0
71,93.0,1.0,91.0
72,95.0,1.0,94.0
73,97.0,1.0,81.0
74,96.0,1.0,94.0
75,91.0,1.0,90.0
76,95.0,1.0,80.0
77,91.0,1.0,93.0
78,91.0,1.0,98.0
79,93.0,0.42857142857142855,93.0
80,98.0,0.0,89.0
81,87.0,0.7692307692307693,87.0
82,96.0,1.0,90.0
83,96.0,1.0,87.0
84,91.0,1.0,88.0
85,95.0,1.0,91.0
86,93.0,1.0,97.0
87,90.0,1.0,85.0
88,91.0,1.0,91.0
89,97.0,1.0,81.0
90,94.0,1.0,93.0
91,92.0,1.0,94.0
92,96.0,1.0,88.0
93,96.0,1.0,91.0
94,97.0,1.0,96.0
95,80.0,0.7,95.0
96,89.0,1.0,86.0
97,92.0,1.0,92.0
98,92.0,1.0,85.0
99,92.0,1.0,90.0
100,90.0,1.0,97.0
101,88.0,1.0,92.0
102,86.0,1.0,97.0
103,96.0,1.0,86.0
104,93.0,1.0,93.0
105,85.0,0.7333333333333333,90.0
106,84.0,1.0,95.0
107,88.0,1.0,93.0
108,92.0,1.0,94.0
109,92.0,1.0,96.0
110,94.0,1.0,94.0
111,89.0,1.0,92.0
112,87.0,1.0,90.0
113,97.0,1.0,85.0
114,94.0,1.0,86.0
115,97.0,1.0,99.0
116,95.0,1.0,95.0
117,87.0,0.0,89.0
118,92.0,0.25,93.0
119,92.0,1.0,87.0
120,91.0,1.0,85.0
121,97.0,1.0,94.0
122,95.0,1.0,94.0
123,95.0,1.0,91.0
124,90.0,1.0,93.0
125,94.0,1.0,97.0
126,85.0,1.0,99.0
127,91.0,1.0,94.0
128,94.0,1.0,93.0
129,93.0,1.0,91.0
130,89.0,0.5454545454545454,94.0
131,91.0,1.0,89.0
132,94.0,1.0,95.0
133,92.0,1.0,89.0
134,92.0,1.0,93.0
135,86.0,1.0,90.0
136,96.0,1.0,93.0
137,93.0,1.0,93.0
138,93.0,1.0,91.0
139,89.0,1.0,94.0
140,95.0,1.0,88.0
141,98.0,1.0,96.0
142,92.0,1.0,92.0
143,85.0,0.5333333333333333,84.0
144,99.0,1.0,87.0
145,99.0,1.0,90.0
146,93.0,1.0,95.0
147,98.0,1.0,97.0
148,82.0,1.0,95.0
149,88.0,1.0,94.0
150,89.0,1.0,93.0
151,93.0,1.0,87.0
152,93.0,1.0,96.0
153,94.0,1.0,93.0
154,94.0,1.0,97.0
155,93.0,1.0,86.0
