episode,global_step,from_policy,to_policy,true_policy,normalized_error
2,40,direct,attack,direct,1.0634613037109375
2,60,attack,direct,direct,0.7807720303535461
4,95,direct,direct,direct,0.5342126488685608
4,112,direct,detour,direct,0.687706470489502
5,144,detour,direct,direct,0.773540735244751
7,181,direct,detour,detour,0.2531658113002777
8,209,detour,direct,detour,0.23436406254768372
8,232,direct,detour,detour,0.20969347655773163
9,267,detour,direct,detour,0.9107627868652344
9,292,direct,direct,detour,0.37186580896377563
9,310,direct,attack,detour,1.040442705154419
9,337,attack,attack,attack,0.5560483932495117
9,373,attack,attack,attack,0.2683221399784088
9,403,attack,direct,attack,0.49758386611938477
9,425,direct,direct,attack,0.4368060231208801
10,445,direct,attack,attack,0.8166980743408203
10,472,attack,direct,attack,0.5980556011199951
11,495,direct,direct,direct,0.24540719389915466
13,524,direct,attack,direct,0.5364988446235657
14,548,attack,direct,direct,0.4070076048374176
16,581,direct,attack,direct,0.9686683416366577
17,605,attack,direct,direct,0.2925969958305359
18,626,direct,attack,direct,0.5031296014785767
19,661,attack,attack,detour,0.15019133687019348
19,679,attack,direct,detour,0.44091933965682983
19,704,direct,attack,detour,0.635684072971344
19,722,attack,direct,detour,2.5715770721435547
19,730,direct,attack,detour,0.8109151124954224
19,743,attack,detour,detour,0.6632546186447144
19,755,detour,direct,detour,0.709935188293457
19,767,direct,attack,detour,0.5961472392082214
19,788,attack,attack,detour,0.27012181282043457
19,835,attack,attack,attack,0.37571460008621216
19,866,attack,attack,attack,0.6244268417358398
19,909,attack,attack,attack,0.19860458374023438
19,961,attack,attack,direct,0.48262351751327515
22,990,attack,attack,direct,0.5395490527153015
23,1022,attack,attack,direct,0.2616012692451477
26,1053,attack,attack,direct,0.721379816532135
27,1078,attack,attack,direct,0.356886625289917
29,1121,attack,attack,detour,0.5462151765823364
29,1161,attack,attack,detour,0.3082791566848755
29,1187,attack,attack,detour,0.6338392496109009
29,1217,attack,direct,detour,1.5010099411010742
29,1228,direct,direct,detour,0.6402682065963745
29,1240,direct,direct,detour,0.789146900177002
29,1267,direct,direct,detour,0.43574032187461853
29,1283,direct,attack,attack,0.9650189876556396
29,1335,attack,attack,attack,0.12810277938842773
29,1389,attack,attack,attack,0.22822478413581848
29,1431,attack,attack,attack,0.2336372435092926
29,1458,attack,direct,direct,0.6786424517631531
31,1481,direct,attack,direct,0.7771382927894592
31,1502,attack,attack,direct,0.1889016032218933
32,1528,attack,attack,direct,0.41552039980888367
34,1547,attack,attack,direct,0.19482921063899994
