episode,opsdemo_reward,baseline_reward
0,93.0,92.0
1,95.0,94.0
2,96.0,96.0
3,93.0,89.0
4,95.0,88.0
5,90.0,91.0
6,88.0,87.0
7,99.0,93.0
8,92.0,95.0
9,80.0,87.0
10,92.0,93.0
11,97.0,95.0
12,93.0,87.0
13,-48.0,92.0
14,73.0,89.0
15,-52.0,88.0
16,89.0,89.0
17,95.0,88.0
18,93.0,92.0
19,81.0,92.0
20,89.0,89.0
21,91.0,96.0
22,95.0,88.0
23,93.0,88.0
24,93.0,87.0
25,93.0,85.0
26,96.0,92.0
27,93.0,93.0
28,93.0,88.0
29,94.0,90.0
30,92.0,95.0
31,72.0,94.0
32,95.0,91.0
33,90.0,92.0
34,91.0,93.0
35,93.0,95.0
36,92.0,92.0
37,89.0,89.0
38,67.0,91.0
39,96.0,92.0
40,96.0,88.0
41,94.0,85.0
42,87.0,96.0
43,94.0,96.0
44,89.0,91.0
45,89.0,98.0
46,95.0,86.0
47,87.0,94.0
48,90.0,91.0
49,93.0,96.0
50,-52.0,95.0
51,-61.0,92.0
52,83.0,92.0
53,96.0,89.0
54,90.0,92.0
55,87.0,98.0
56,95.0,90.0
57,89.0,88.0
58,90.0,97.0
59,97.0,85.0
60,86.0,93.0
61,88.0,92.0
62,95.0,96.0
63,98.0,96.0
64,89.0,82.0
65,82.0,88.0
66,-54.0,93.0
67,54.0,84.0
68,92.0,93.0
69,80.0,95.0
70,87.0,87.0
71,92.0,89.0
72,89.0,85.0
73,89.0,94.0
74,96.0,93.0
75,93.0,93.0
76,93.0,96.0
77,93.0,90.0
78,92.0,92.0
79,86.0,94.0
80,-55.0,96.0
81,86.0,96.0
82,72.0,94.0
83,91.0,90.0
84,74.0,89.0
85,96.0,93.0
86,90.0,88.0
87,75.0,93.0
88,81.0,97.0
89,92.0,86.0
90,95.0,95.0
91,96.0,98.0
92,98.0,86.0
93,89.0,93.0
94,90.0,96.0
95,92.0,92.0
96,91.0,90.0
97,95.0,93.0
98,52.0,87.0
99,97.0,92.0
100,-54.0,96.0
101,90.0,84.0
102,96.0,84.0
103,80.0,94.0
104,94.0,75.0
105,93.0,87.0
106,89.0,86.0
107,82.0,96.0
108,93.0,93.0
109,85.0,90.0
110,98.0,89.0
111,90.0,85.0
112,99.0,90.0
113,92.0,83.0
114,-48.0,91.0
115,-55.0,86.0
116,89.0,95.0
117,80.0,94.0
118,88.0,92.0
119,96.0,89.0
120,92.0,87.0
121,97.0,92.0
122,83.0,95.0
123,86.0,87.0
124,94.0,96.0
125,-46.0,92.0
126,90.0,93.0
127,90.0,96.0
128,95.0,94.0
129,97.0,92.0
130,97.0,93.0
131,89.0,89.0
132,62.0,95.0
133,90.0,92.0
134,87.0,93.0
135,93.0,93.0
136,92.0,98.0
137,93.0,95.0
138,92.0,83.0
139,87.0,87.0
140,94.0,98.0
141,87.0,85.0
142,58.0,95.0
143,95.0,91.0
144,92.0,92.0
145,-51.0,93.0
146,61.0,88.0
147,87.0,92.0
148,94.0,88.0
149,87.0,90.0
150,89.0,92.0
151,94.0,91.0
152,88.0,88.0
153,99.0,91.0
154,92.0,94.0
155,90.0,88.0
156,85.0,97.0
157,87.0,84.0
158,-45.0,92.0
159,-64.0,89.0
160,97.0,88.0
161,92.0,91.0
162,90.0,86.0
163,74.0,86.0
164,92.0,90.0
165,88.0,92.0
166,92.0,96.0
167,89.0,91.0
168,91.0,92.0
169,95.0,92.0
170,74.0,93.0
171,60.0,95.0
172,-62.0,86.0
173,74.0,93.0
174,91.0,91.0
175,94.0,87.0
176,95.0,92.0
177,93.0,84.0
178,82.0,94.0
