ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,24,0.0,0.0,-94.941157,0,0
direct,512,0.001953,0.005859,5.044369,3,1
detour,264,1.0,0.007576,243.762141,0,262
