episode,opsdemo_reward,response_policy_accuracy,baseline_reward
0,89.0,1.0,97.0
1,99.0,1.0,87.0
2,90.0,1.0,96.0
3,94.0,1.0,93.0
4,86.0,1.0,91.0
5,96.0,1.0,92.0
6,91.0,1.0,88.0
7,93.0,1.0,93.0
8,96.0,1.0,93.0
9,90.0,1.0,93.0
10,90.0,1.0,89.0
11,89.0,1.0,93.0
12,96.0,0.75,98.0
13,93.0,0.0,81.0
14,73.0,0.47619047619047616,93.0
15,90.0,1.0,90.0
16,93.0,1.0,94.0
17,92.0,1.0,99.0
18,90.0,1.0,87.0
19,99.0,1.0,91.0
20,99.0,1.0,97.0
21,94.0,1.0,92.0
22,90.0,1.0,92.0
23,94.0,1.0,85.0
24,96.0,1.0,94.0
25,95.0,1.0,85.0
26,94.0,0.5,86.0
27,98.0,0.0,95.0
28,93.0,0.0,94.0
29,91.0,0.7777777777777778,93.0
30,92.0,1.0,88.0
31,93.0,1.0,85.0
32,92.0,1.0,89.0
33,94.0,1.0,92.0
34,98.0,1.0,97.0
35,92.0,1.0,93.0
36,88.0,1.0,89.0
37,88.0,1.0,94.0
38,93.0,1.0,90.0
39,73.0,0.6,92.0
40,96.0,1.0,93.0
41,92.0,1.0,90.0
42,92.0,1.0,92.0
43,90.0,1.0,97.0
44,90.0,1.0,91.0
45,89.0,1.0,92.0
46,98.0,1.0,92.0
47,94.0,1.0,80.0
48,89.0,1.0,89.0
49,91.0,1.0,87.0
50,94.0,1.0,90.0
51,90.0,0.4,95.0
52,90.0,0.4,95.0
53,89.0,1.0,87.0
54,89.0,1.0,92.0
55,91.0,1.0,91.0
56,92.0,1.0,74.0
57,92.0,1.0,90.0
58,88.0,1.0,93.0
59,92.0,1.0,96.0
60,93.0,1.0,92.0
61,90.0,1.0,94.0
62,80.0,0.35294117647058826,88.0
63,92.0,1.0,91.0
64,97.0,1.0,95.0
65,90.0,1.0,88.0
66,92.0,1.0,92.0
67,94.0,1.0,90.0
68,93.0,1.0,85.0
69,96.0,1.0,87.0
70,95.0,1.0,94.0
71,92.0,1.0,91.0
72,94.0,1.0,94.0
73,98.0,1.0,81.0
74,91.0,1.0,94.0
75,92.0,0.875,90.0
76,89.0,0.36363636363636365,80.0
77,95.0,1.0,93.0
78,97.0,1.0,98.0
79,89.0,1.0,93.0
80,92.0,1.0,89.0
81,97.0,1.0,87.0
82,92.0,1.0,90.0
83,92.0,1.0,87.0
84,89.0,1.0,88.0
85,95.0,1.0,91.0
86,87.0,1.0,97.0
87,93.0,1.0,85.0
88,71.0,0.6896551724137931,91.0
89,84.0,1.0,81.0
90,91.0,1.0,93.0
91,85.0,1.0,94.0
92,90.0,1.0,88.0
93,95.0,1.0,91.0
94,94.0,1.0,96.0
95,97.0,1.0,95.0
96,97.0,1.0,86.0
97,74.0,0.64,92.0
98,95.0,1.0,85.0
99,97.0,1.0,90.0
100,93.0,1.0,97.0
101,94.0,1.0,92.0
102,95.0,1.0,97.0
103,92.0,1.0,86.0
104,89.0,1.0,93.0
105,82.0,1.0,90.0
106,88.0,1.0,95.0
107,93.0,1.0,93.0
108,79.0,0.6190476190476191,94.0
109,98.0,1.0,96.0
110,96.0,1.0,94.0
111,97.0,1.0,92.0
112,93.0,1.0,90.0
113,90.0,1.0,85.0
114,92.0,1.0,86.0
115,89.0,1.0,99.0
116,95.0,1.0,95.0
117,94.0,1.0,89.0
118,92.0,1.0,93.0
119,89.0,1.0,87.0
120,73.0,0.55,85.0
121,92.0,1.0,94.0
122,89.0,1.0,94.0
123,93.0,1.0,91.0
124,98.0,1.0,93.0
125,94.0,1.0,97.0
126,96.0,1.0,99.0
127,93.0,1.0,94.0
128,95.0,1.0,93.0
129,96.0,1.0,91.0
130,88.0,1.0,94.0
131,97.0,1.0,89.0
132,87.0,1.0,95.0
133,94.0,1.0,89.0
134,90.0,0.0,93.0
135,95.0,0.0,90.0
136,85.0,0.6,93.0
137,86.0,1.0,93.0
138,90.0,1.0,91.0
139,95.0,1.0,94.0
140,92.0,1.0,88.0
141,84.0,1.0,96.0
142,96.0,1.0,92.0
143,91.0,1.0,84.0
144,96.0,1.0,87.0
145,71.0,0.6521739130434783,90.0
146,94.0,1.0,95.0
147,90.0,1.0,97.0
148,94.0,1.0,95.0
149,87.0,1.0,94.0
150,94.0,1.0,93.0
151,91.0,1.0,87.0
152,94.0,1.0,96.0
153,92.0,1.0,93.0
154,90.0,1.0,97.0
155,77.0,0.55,86.0
156,88.0,1.0,93.0
